Rank,Word,POS,Person?,Object?,Plants?,Animals?,Location?,Time?,Process?,Action?,Quality?,"Superlative[0,0.3,0.6,1]","Negative/Neutral/Positive[-1,0,1]",Male/Female,Concrete/Abstract
101,only,r,0,0,0,0,0,0,0,0,0,0,0,0,0
102,those,d,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
103,tell,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
104,one,p,0,0,0,0,0,0,0,0,0,0,0,0,0
105,very,r,0,0,0,0,0,0,0,0,0,0,0,0,0
106,her,p,1,0,0,0,0,0,0,0,0,0,0,1,0
107,even,r,0,0,0,0,0,0,0,0,0,0,0,0,0
108,back,r,0,0,0,0,1,0,0,0,0,0,0,0,0
109,any,d,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
110,good,j,-1,-1,-1,-1,-1,-1,-1,-1,1,0.3,1,0,0
111,woman,n,1,0,0,0,0,0,0,0,0,0,0,1,-1
112,through,i,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0
113,us,p,1,0,0,0,0,0,0,0,0,0,0,0,0
114,life,n,0,0,0,0,0,0,1,0,0,0,1,0,1
115,child,n,1,0,0,0,0,0,0,0,0,0,0,0,-1
116,there,r,0,0,0,0,1,0,0,0,0,0,0,0,0
117,work,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
118,down,r,0,0,0,0,1,0,0,0,0,0,0,0,0
119,may,v,0,0,0,0,0,0,0,0,0,0,0,0,0
120,after,i,-1,-1,-1,-1,1,1,-1,-1,-1,0,0,0,0
121,should,v,0,0,0,0,0,0,0,0,0,0,0,0,0
122,call,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
123,world,n,0,0,0,0,1,0,0,0,0,0,0,0,1
124,over,i,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,0
125,school,n,0,1,0,0,1,0,0,0,0,0,0,0,-1
126,still,r,0,0,0,0,0,0,0,0,0,0,0,0,0
127,try,v,0,0,0,0,0,0,0,1,0,0,0,0,1
128,in,r,0,0,0,0,1,0,0,0,0,0,0,0,0
129,as,r,0,0,0,0,0,0,0,0,0,0,0,0,0
130,last,m,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
131,ask,v,0,0,0,0,0,0,0,1,0,0,0,0,-1
132,need,v,0,0,0,0,0,0,0,0,0,0,0,0,1
133,too,r,0,0,0,0,0,0,0,0,0,0,0,0,0
134,feel,v,0,0,0,0,0,0,0,0,0,0,0,0,0
135,three,m,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
136,when,r,0,0,0,0,0,1,0,0,0,0,0,0,0
137,state,n,0,0,0,0,1,0,0,0,0,0,0,0,-1
