,Rank,Word,POS,Person?,Object?,Plants?,Animals?,Location?,Time?,Process?,Action?,Quality?,"Superlative[0,0.3,0.6,1]","Negative/Neutral/Positive[-1,0,1]",Male/Female,Concrete/Abstract
171,172,every,a,z,z,z,z,z,z,z,z,z,0,0,0,0
245,246,though,c,z,z,z,z,z,z,z,z,z,0,0,0,0
367,368,before,c,z,z,z,z,z,z,z,z,z,0,0,0,0
270,271,until,c,z,z,z,z,z,z,z,z,z,0,0,0,0
195,196,so,c,z,z,z,z,z,z,z,z,z,0,0,0,0
168,169,where,c,z,z,z,z,z,z,z,z,z,0,0,0,0
321,322,whether,c,z,z,z,z,z,z,z,z,z,0,0,0,0
483,484,even,c,z,z,z,z,z,z,z,z,z,0,0,0,0
378,379,although,c,z,z,z,z,z,z,z,z,z,0,0,0,0
152,153,while,c,z,z,z,z,z,z,z,z,z,0,0,0,0
259,260,after,c,z,z,z,z,z,z,z,z,z,0,0,0,0
260,261,since,c,z,z,z,z,z,z,z,z,z,0,0,0,0
527,528,whose,d,x,z,z,z,z,z,z,z,z,0,0,0,0
144,145,another,d,z,z,z,z,z,z,z,z,z,0,0,0,0
186,187,most,d,z,z,z,z,z,z,z,z,z,1,0,0,0
310,311,several,d,z,z,z,z,z,z,z,z,z,0,0,0,0
147,148,own,d,z,z,z,z,z,z,z,z,z,0,0,0,0
191,192,each,d,z,z,z,z,z,z,z,z,z,0,0,0,0
184,185,few,d,z,z,z,z,z,z,z,z,z,0,0,0,0
182,183,such,d,z,z,z,z,z,z,z,z,z,0,0,0,0
145,146,much,d,z,z,z,z,z,z,z,z,z,0,0,0,0
160,161,same,d,z,z,z,z,z,z,z,z,z,0,0,0,0
442,443,former,d,z,z,z,z,z,x,z,z,z,0,0,0,0
101,102,those,d,z,x,z,z,z,z,z,z,z,0,0,0,0
547,548,half,d,z,z,z,z,z,z,z,z,z,0,0,0,0
255,256,both,d,z,z,z,z,z,z,z,z,z,0,0,0,0
108,109,any,d,z,z,z,z,z,z,z,z,z,0,0,0,0
123,124,over,i,z,z,z,z,x,z,z,z,z,0,0,0,0
219,220,before,i,z,z,z,z,z,x,z,z,z,0,0,0,0
111,112,through,i,z,z,z,z,x,z,z,z,z,0,0,0,0
478,479,according,i,z,z,z,z,z,z,z,z,z,0,0,0,0
352,353,within,i,z,z,z,z,x,z,z,z,z,0,0,0,0
508,509,because,i,z,z,z,z,z,z,z,z,z,0,0,0,0
279,280,among,i,z,z,z,z,z,z,z,z,z,0,0,0,0
148,149,out,i,z,z,z,z,x,z,z,z,z,0,0,0,0
348,349,such,i,z,z,z,z,z,z,z,z,z,0,0,0,0
197,198,during,i,z,z,z,z,z,x,z,z,z,0,0,0,0
264,265,around,i,z,z,z,z,z,z,z,z,z,0,0,0,0
393,394,including,i,z,z,z,z,z,z,z,z,z,0,0,0,0
421,422,behind,i,z,z,z,z,x,z,z,z,z,0,0,0,0
387,388,off,i,z,z,z,z,z,z,z,z,z,0,0,0,0
384,385,toward,i,z,z,z,z,x,z,z,z,z,0,0,0,0
218,219,without,i,z,z,z,z,z,z,z,z,z,0,0,0,0
455,456,up,i,z,z,z,z,x,z,z,z,z,0,0,0,0
119,120,after,i,z,z,z,z,x,x,z,z,z,0,0,0,0
377,378,across,i,z,z,z,z,x,z,z,z,z,0,0,0,0
225,226,under,i,z,z,z,z,x,z,z,z,z,0,0,0,0
139,140,between,i,z,z,z,z,x,z,z,z,z,0,0,0,0
447,448,along,i,z,z,z,z,x,z,z,z,z,0,0,0,0
179,180,against,i,z,z,z,z,x,z,z,z,z,0,0,0,0
492,493,TRUE,j,z,z,z,z,z,z,z,z,x,0,0,0,0
467,468,whole,j,z,z,z,z,z,z,z,z,z,0,0,0,0
333,334,public,j,z,z,z,z,z,z,z,z,x,0,0,0,0
493,494,federal,j,z,z,z,z,z,z,z,z,x,0,0,0,0
277,278,political,j,z,z,z,z,z,z,z,z,x,0,0,0,0
266,267,important,j,z,z,z,z,z,z,z,z,x,0,0,0,0
328,329,only,j,z,z,z,z,z,z,z,z,x,0,0,0,0
453,454,economic,j,z,z,z,z,z,z,z,z,x,0,0,0,0
253,254,black,j,z,z,z,z,z,z,z,z,x,0,0,0,0
202,203,small,j,z,z,z,z,z,z,z,z,x,0.3,0,0,0
