Rank,Word,POS,Semantics,Special,Person?,Object?,Entity?,Concept?,Event?,Number?,Plants?,Animals?,Location?,Time?,Process?,Action?,Quality?,Quantity?,"Superlative[0,0.3,0.6,1]","Negative/Neutral/Positive[-1,0,1]",Question,1st Person,2nd Person,3rd Person,Possession,Number,Ordinal,"Past/Present/Future[-1,0,1]","Singular/Plural[-1,1]",Male/Female,Concrete/Abstract
20,an,a,[a],1,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,activities,n,"[activity], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,added,v,[add],,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,african,j,[africa],,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,allowed,v,"[allow], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,american,n,"[america], person",,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,announced,v,[announce],,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,appeared,v,[appear],,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,appointed,v,[appoint],,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,approximately,r,[approximate],,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,were,v,"[are], past",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,areas,n,"[area], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,arts,n,"[art], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,artists,n,"[artist], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,associated,v,"[associate], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,attended,v,[attend],,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,australian,j,[australia],,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,awards,n,[award],,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,awarded,v,"[award], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,based,v,"[base], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,been,v,"[be], past",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,being,v,"[be], present",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,became,v,"[become], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,becoming,v,"[become], present",,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,began,v,"[begin], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,beginning,v,"[begin], present",,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,end,n,"[-beginning], noun",,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0
653,books,n,"[book], plural",,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,brought,v,"[bring], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,british,j,[britain],,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,built,v,"[build], past",,,,,,,,,,,,,,,,,,,,,,,,,,,,
